DATE,TARGET PRODUKSI OIL (RKAP),TARGET PRODUKSI OIL (WP&B),PROD OIL (SOT),PROD OIL (OPS),LIFTING OIL (DAILY),EXT OIL,Reparasi,Reopening,Stimulasi,Fracturing,Optimasi Lifting,WO OIL,BOR OIL,FIGURE GS-4 GROSS,FIGURE GS-4 OIL,FIGURE GS-1 GROSS,FIGURE GS-1 OIL,FIGURE GS-2 GROSS,FIGURE GS-2 OIL,FIGURE GS-3 GROSS,FIGURE GS-3 OIL,KONDENSAT (BBL),FIGURE PROD TOTAL GROSS,FIGURE PROD TOTAL OIL,PRODUCTION,PROD WATER,INJECTION WATER,SA,SB,ESP,INJEKSI,TOTAL,KETERANGAN LOW/GAIN/OFF,TARGET RKAP GAS,TARGET LIFTING RKAP,TARGET WP&B GAS,TARGET LIFTING WP&B,PROD GAS (MSCFD),FIGURE GS-4 GAS INJ,FIGURE GS-4 GAS OUT ASSO,FIGURE GS-4 GAS OUT NON ASSO,FIGURE GS-4 FIGURE PROD,FIGURE GS-1 GAS INJ,FIGURE GS-1 GAS OUT ASSO,FIGURE GS-1 GAS OUT NON ASSO,FIGURE GS-1 FIGURE PROD,FIGURE GS-2 GAS INJ,FIGURE GS-2 GAS OUT ASSO,FIGURE GS-2 GAS OUT NON ASSO,FIGURE GS-2 FIGURE PROD,FIGURE GS-3 GAS INJ,FIGURE GS-3 GAS OUT ASSO,FIGURE GS-3 GAS OUT NON ASSO,FIGURE GS-3 FIGURE PROD,FIGURE TOTAL GAS INJ,FIGURE TOTAL GAS OUT ASSO,FIGURE TOTAL GAS OUT NON ASSO,FIGURE TOTAL PROD,SKG BUNYU OPS UNIT,SKG BUNYU SUCTION,SKG BUNYU BYPASS,SKG BUNYU P DISCH,SKG BUNYU Q DISCH,SKG NIBUNG OPS UNIT,SKG NIBUNG SUCTION,SKG NIBUNG BYPASS,SKG NIBUNG P DISCH,SKG NIBUNG Q DISCH,TOTAL DISCHARGE SKG,INJEKSI GAS LIFT,OWN USE Utilities,OWN USE Fuel PLTG,OWN USE Fuel Dam Baung,OWN USE Fuel SKG Bunyu,OWN USE Fuel SKG Nibung,OWN USE PTL Tarakan,OWN USE Kondensat ,OWN USE Line Pack,OWN USE Total,SALES City Gas Tarakan,SALES City Gas Bunyu,SALES PLN Tarakan,SALES PLN Bunyu,TOTAL SALES,Flare Tarakan,Flare SKG Bunyu,Flare SKG Nibung,FLARE TOTAL,BOR GAS,EXT GAS,WO GAS,WI GAS,G-8,Binalatung,Kampung 1,City Gas Tarakan,Medco to City Gas,Medco to PLN,Sumur Injeksi Aktif,Tekanan Discharge Pompa,HPS,Garbarino,Keterangan Pompa Injeksi
2026-01-01,1976.6487184445118,1969.2790405479982,2275.043,2275.035,0.0,2275.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9704.0,574.5,12814.75,853.2916666666666,5828.0,512.125,7524.0,299.0,36.0,35870.75,2274.9166666666665,33631.833333333336,33806.034666671636,33804.666666671634,9.0,43.0,14.0,29.0,66.0,"*Sumur Gain*
B-232 : 14 (+12) Gross Naik (+410) Prod. 24 jam, ex .imbangi tekanan jaringan perbaikan K#3 SKG Bunyu 
B-224 : 10 (+10) Gross Naik (+208) Pkl 11.00 buka sumur/GI ex imbangi tekanan jaringan perbaikan K#3 SKG Bunyu
B-229 : 11 (+8) Gross Naik (+397) Prod. 24 jam, ex .imbangi tekanan jaringan perbaikan K#3 SKG Bunyu 
B-231 : 11 (+8) Gross Naik (+300) Prod. 24 jam, ex .imbangi tekanan jaringan perbaikan K#3 SKG Bunyu 
B-233 : 7 (+6) Gross Naik (+10) Prod. 24 jam, ex .imbangi tekanan jaringan perbaikan K#3 SKG Bunyu 
BN-058 : 51 (+6) Gross Naik (+144) 
B-179 : 160 (+4) KA Turun (-0.6%) 
B-208 : 35 (+3) KA Turun (-2.7%) 
B-217 : 43 (+3) KA Turun (-1.1%) 
BN-018 : 118 (+3) KA Turun (-0.1%) 
B-214 : 29 (+3) Gross Naik (+3) 
BN-038 : 13 (+2) KA Turun (-0.5%) 
BN-022 : 21 (+2) Gross Naik (+175) 
B-219 : 50 (+1) KA Turun (-0.3%) 

*Sumur Low*
B-149 : 5 (-16) KA Naik (+1.7%) 
B-173 : 24 (-6) Gross Turun (-61) 
B-206 : 24 (-5) KA Naik (+1.9%) 
B-239 : 5 (-3) Gross Turun (-21) 
BN-024 : 19 (-2) Gross Turun (-444) ",8297.84672314088,5327.217596256445,7630.46424424061,4898.758044802472,8875.764300000003,4584.0,6012.0,180.0,1608.0,6526.625,9583.625,1079.0,4136.0,2188.0,2911.0,1637.0,2360.0,3494.0,3847.5,625.0,978.5,16792.625,22354.125,3521.0,9082.5,3.0,15.9,0.0,400.0,17812.212,4.0,25.0,0.0,310.7083333333333,29660.3625,47472.5745,21020.948200000003,156.35,356.51,80.0,1289.5293,573.875,342.9,0.0,91.60000000000127,2890.764300000001,252.4,75.1,5278.5,348.0,5954.0,31.0,0.0,0.0,31.0,0.0,8875.764300000003,0.0,0.0,1.6299,1.2265,2.4221,0.2524,0.3,1.1247,29.0,580.0,3.0,0,
2026-01-02,1976.6487184445118,1969.2790405479982,2268.027,2268.035,0.0,2268.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9369.583333333334,547.5833333333334,12973.75,862.5,5731.25,512.875,7469.708333333333,306.5,39.0,35544.29166666667,2268.4583333333335,33314.833333333336,33513.57766665673,33551.54166665673,9.0,43.0,14.0,29.0,66.0,"*Sumur Low*
B-194 : 86 (-16) Gross Turun (-235) 
B-208 : 30 (-5) Gross Turun (-75) 
BN-018 : 113 (-5) Gross Turun (-108) Pkl 15.16 manual esp off due to flowline leak. Pkl 16.06 manual start 70 Hz step by step increase to 98 Hz 
BN-015 : 71 (-4) KA Naik (+0.8%) 
B-195 : 13 (-4) Gross Turun (-45) 
BN-017 : 19 (-4) KA Naik (+3.4%) 
BN-039 : 45 (-3) KA Naik (+0.1%) 
B-140 : 19 (-3) Gross Turun (-104)

*Sumur Gain*
B-224 : 19 (+9) Gross Naik (+176) Prod. 24 jam, ex .imbangi tekanan jaringan perbaikan K#3 SKG Bunyu 
B-173 : 27 (+3) Gross Naik (+8) 
B-216 : 32 (+3) KA Turun (-0.6%) 
B-185 : 31 (+3) KA Turun (-0.3%) 
B-169 : 35 (+3) Gross Naik (+97) 
B-144 : 24 (+3) KA Turun (-0.3%) 
B-214 : 32 (+3) Gross Naik (+3) 
B-191 : 65 (+2) KA Turun (-1.3%) 
B-132 : 42 (+2) KA Turun (-0.3%) 
B-196 : 122 (+2) Gross Naik (+3) 
BN-058 : 53 (+2) KA Turun (-0.4%)",8297.84672314088,5327.217596256445,7630.46424424061,4898.758044802472,8839.0,4584.0,6048.5,180.0,1644.5,6660.0,9625.0,1079.0,4044.0,2188.0,2829.0,1637.0,2278.0,3494.0,3791.541666666667,625.0,922.541666666667,16926.0,22294.041666666668,3521.0,8889.041666666668,3.0,15.6,0.0,401.0,17813.8629,4.0,25.0,124.736,298.3333333333333,29635.3283,47449.1912,21031.9033,155.575,352.224,80.0,1297.551,573.25,344.8,0.0,68.10000000000036,2871.5000000000005,313.5,80.60000000000001,5179.3,360.9,5934.3,33.2,0.0,0.0,33.2,0.0,8839.0,0.0,0.0,1.3416,1.3157,2.522,0.3135,0.3,1.1001,29.0,554.0,4.0,0,"HPS 2 Pkl. 09.30 - 14.30 Start Pompa Freq 47 Hz Pkl. 14.30 Stop pompa, problem Over Temperatur pada VSD  HPS 3 Pkl. 09.30 - 16.30 Stop pompa  HPS 4 Pkl. 14.30 - 16.30 Stop pompa"
2026-01-03,1976.6487184445118,1969.2790405479982,2244.038,2244.051,0.0,2244.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9228.0,522.5,12946.75,843.5,5764.0,509.625,8074.5,322.5,46.0,36013.25,2244.125,33815.125,33967.542,34089.75,9.0,43.0,14.0,29.0,66.0,"*Sumur Low*
B-194 : 59 (-27) KA Naik (+1.6%) 
B-225 : 16 (-26) KA Naik (+3.3%) 
BN-017 : 17 (-3) KA Naik (+2.9%) Pkl 10.45 update GI 531 Mscfd
B-146 : 30 (-3) KA Naik (+4.8%) 
B-213 : 40 (-3) Gross Turun (-16) 
B-173 : 24 (-3) Gross Turun (-14) 
BN-015 : 69 (-2) KA Naik (+0.9%) 
B-239 : 3 (-2) KA Naik (+4.5%) Pkl 17.00 update GI di 525 Mscfd 
BN-018 : 112 (-1) KA Naik (+0.1%) Prod. 24 jam, ex. Manual start

*Sumur Gain*
B-149 : 11 (+6) Gross Naik (+636) 
B-243 : 88 (+6) KA Turun (-0.2%) 
B-199 : 142 (+6) KA Turun (-0.9%) 
B-231 : 16 (+5) KA Turun (-1.5%) 
B-125 : 32 (+3) KA Turun (-0.3%) 
B-198 : 77 (+3) KA Turun (-0.4%) 
B-081 : 53 (+3) KA Turun (-0.2%) 
BN-022 : 24 (+3) Gross Naik (+59) 
B-229 : 13 (+2) KA Turun (-0.8%) 
B-233 : 8 (+1) Gross Naik (+3)",8297.84672314088,5327.217596256445,7630.46424424061,4898.758044802472,8385.1041,4517.0,6082.0,180.0,1745.0,6660.0,9659.0,1079.0,4078.0,2393.0,2998.0,1589.0,2194.0,3494.0,3819.125,625.0,950.125,17064.0,22558.125,3473.0,8967.125,3.0,15.9,0.0,402.0,18109.2271,4.0,25.0,47.229,297.9583333333333,29977.6693,48086.8964,21828.465200000002,155.9,338.268,80.0,1289.4194,574.4167,334.8,0.0,62.5,2835.3041000000003,335.6,82.3,4745.0,350.4,5513.299999999999,36.5,0.0,0.0,36.5,0.0,8385.1041,0.0,0.0,0.6699,1.5023,2.5728,0.3356,0.3,1.0678,29.0,552.0,4.0,0,HPS2 2 Pkl. 09.00 Start pompa frq 45 Hz  HPS 4 Pkl. 09.00 Stop
2026-01-04,1976.6487184445118,1969.2790405479982,2255.066,2255.087,0.0,2255.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9601.41304347826,535.1195652173913,12951.75,842.5,5490.0,507.625,7949.333333333333,324.0,46.0,35992.49637681159,2255.244565217391,33783.2518115942,33873.37933334327,33919.58333334327,9.0,43.0,14.0,29.0,66.0,"*Sumur Gain*
B-194 : 66 (+7) KA Turun (-0.4%) 
B-173 : 29 (+5) Gross Naik (+24) 
BN-018 : 117 (+5) Gross Naik (+111) 
BN-039 : 49 (+4) KA Turun (-0.1%) 
B-237 : 57 (+4) Gross Naik (+15) 
B-102 : 10 (+4) KA Turun (-2.6%) 
BN-058 : 57 (+4) KA Turun (-0.7%) 
B-149 : 15 (+4) KA Turun (-0.3%) 
B-206 : 27 (+3) KA Turun (-1.3%) 
B-229 : 16 (+3) KA Turun (-0.8%) 
BN-017 : 18 (+1) Gross Naik (+15) 

*Sumur Low*
B-140 : 13 (-6) Gross Turun (-314) 
B-132 : 37 (-5) Gross Turun (-103) 
B-181 : 37 (-4) KA Naik (+0.2%) 
B-208 : 27 (-3) KA Naik (+3.4%) 
BN-024 : 16 (-3) KA Naik (+1.4%) 
B-217 : 40 (-3) KA Naik (+1.1%) 
B-169 : 32 (-3) Gross Turun (-88) 
B-144 : 21 (-3) KA Naik (+0.3%) 
B-219 : 48 (-2) Gross Turun (-14) ",8297.84672314088,5327.217596256445,7630.46424424061,4898.758044802472,8509.0444,4517.0,6109.652173913044,180.0,1772.652173913044,6660.0,9676.0,1079.0,4095.0,2393.0,3044.0,1589.0,2240.0,3494.0,3818.4375,625.0,949.4375,17064.0,22648.089673913044,3473.0,9057.089673913044,3.0,16.0,0.0,402.0,18085.3534,4.0,24.916666666666668,0.0,283.2916666666667,30169.299400000004,48254.6528,21895.755,155.5,353.236,80.0,1297.2751,572.8333,329.5,0.0,45.899999999999636,2834.2443999999996,315.40000000000003,81.8,4889.8,351.1,5638.1,36.7,0.0,0.0,36.7,0.0,8509.0444,0.0,0.0,1.1637,1.5148,2.2113,0.3154,0.3,1.084,29.0,563.0,3.0,0,
2026-01-05,1976.6487184445118,1969.2790405479982,2260.032,2260.049,0.0,2260.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9508.66304347826,541.6195652173913,13254.5,855.875,5517.875,501.4375,8625.25,315.25,46.0,36906.28804347826,2260.182065217391,34692.105978260865,34733.046,34871.25,8.0,44.0,14.0,29.0,66.0,"*Sumur Gain*
B-211 : 31 (+6) KA Turun (-9.1%) 
B-194 : 71 (+6) KA Turun (-0.6%) 
B-236 : 54 (+5) KA Turun (-1%) 
B-234 : 85 (+5) KA Turun (-2.1%) 
BN-015 : 72 (+3) Gross Naik (+14) 
B-179 : 163 (+3) Gross Naik (+36) 
B-232 : 17 (+3) KA Turun (-0.6%) 
BN-022 : 27 (+3) KA Turun (-0.8%) 
B-136 : 41 (+2) Gross Naik (+118) 
B-199 : 144 (+2) KA Turun (-0.5%) 
BN-017 : 19 (+1) KA Turun (-1.8%) 

*Sumur Low*
B-132 : 29 (-8) Gross Turun (-155) 
B-196 : 114 (-8) KA Naik (+2.5%) 
B-214 : 27 (-5) Gross Turun (-6) 
B-173 : 24 (-5) Gross Turun (-21) 
B-216 : 29 (-3) KA Naik (+0.5%) 
B-224 : 16 (-3) KA Naik (+0.5%) 
B-160 : 69 (-2) KA Naik (+0.1%) ",8297.84672314088,5327.217596256445,7630.46424424061,4898.758044802472,8318.1889,4517.0,6333.652173913044,128.0,1944.652173913044,7030.0,10037.0,759.0,3766.0,2393.0,3054.0,1508.0,2169.0,3494.0,3734.0,477.0,717.0,17434.0,23158.652173913044,2872.0,8596.652173913044,3.0,16.0,0.0,400.0,18172.1707,4.0,24.791666666666668,117.386,267.7916666666667,30257.050099999997,48429.220799999996,22173.961199999998,155.1,347.9,80.0,1287.2556,573.3333,333.6,0.0,22.299999999999272,2799.488899999999,334.7,85.1,4727.1,336.6,5483.500000000001,35.2,0.0,0.0,35.2,0.0,8318.1889,0.0,0.0,0.6736,1.5132,2.5403,0.3347,0.3,1.1367,29.0,570.0,3.0,0,
2026-01-06,1976.6487184445118,1969.2790405479982,2240.069,2240.076,0.0,2240.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9498.125,546.625,12960.5,850.625,5317.9375,492.96875,8445.75,296.75,53.0,36222.3125,2239.96875,34035.34375,35183.96433332837,35207.208333328366,8.0,44.0,14.0,29.0,66.0,"*Sumur Low*
B-196 : 101 (-13) KA Naik (+5.9%) 
B-198 : 66 (-11) Gross Turun (-91) 
B-159 : 11 (-10) Gross Turun (-14) 
B-140 : 6 (-8) Gross Turun (-218) Pkl 17.00 bean up ke SB OF dan update GI 216 Mscfd
B-081 : 48 (-5) KA Naik (+0.3%) 
B-185 : 26 (-4) Gross Turun (-165) Pkl 10.20 - 15.30 tutup sumur/GI, program penyisipan gasline
BN-017 : 17 (-3) KA Naik (+2.1%) 
B-169 : 30 (-3) KA Naik (+0.5%) 
B-147 : 13 (-3) KA Naik (+0.2%) 
BN-038 : 11 (-2) KA Naik (+0.6%) 
BN-018 : 115 (-2) Gross Turun (-151)

*Sumur Gain*
B-194 : 77 (+6) KA Turun (-0.4%) 
B-234 : 90 (+6) KA Turun (-2.3%) 
BN-024 : 21 (+5) Gross Naik (+110) 
B-229 : 21 (+5) KA Turun (-0.7%) 
BN-058 : 61 (+4) Gross Naik (+21) 
B-146 : 32 (+3) KA Turun (-2.1%) 
B-173 : 27 (+3) KA Turun (-10.1%) 
B-213 : 42 (+2) KA Turun (-4.9%) 
B-203 : 10 (+2) Gross Naik (+21) 
B-206 : 27 (+1) KA Turun (-1%)",8297.84672314088,5327.217596256445,7630.46424424061,4898.758044802472,8569.5116,4517.0,6340.0,128.0,1951.0,6959.5,10163.5,759.0,3963.0,2321.5,2906.5,1431.0,2016.0,3494.0,3736.0,477.0,719.0,17292.0,23146.0,2795.0,8649.0,3.0,16.0,0.0,402.0,18085.9675,4.0,24.875,26.415,260.0416666666667,30023.658799999997,48109.626299999996,21689.7222,155.575,349.372,80.0,1290.6563,572.7083,339.3,0.0,88.89999999999964,2876.5116,338.5,84.0,4812.8,331.4,5566.7,126.3,0.0,0.0,126.3,0.0,8569.5116,0.0,0.0,0.768,1.5533,2.4915,0.3385,0.3,0.8647,29.0,572.0,3.0,0,
2026-01-07,1976.6487184445118,1969.2790405479982,2260.092,2260.072,0.0,2260.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9465.0625,543.5625,13087.625,860.375,5193.9375,494.46875,8374.25,310.75,51.0,36120.875,2260.15625,33911.71875,34089.412333343265,34164.70833334327,8.0,45.0,14.0,29.0,67.0,"*Sumur Gain*
B-185 : 38 (+12) KA Turun (-4.9%) Prod. 24 jam, ex. Tutup sumur/gas injeksi, program penyisipan gasline
B-132 : 35 (+6) KA Turun (-3.7%) 
B-196 : 106 (+5) KA Turun (-4.9%) 
B-214 : 32 (+5) Gross Naik (+6) 
B-227 : 12 (+4) Gross Naik (+26) 
B-243 : 92 (+4) KA Turun (-0.1%) 
BN-039 : 53 (+4) KA Turun (-0.2%) 
B-149 : 19 (+4) KA Turun (-0.3%) 
B-216 : 32 (+3) Gross Naik (+42) 
B-194 : 80 (+3) KA Turun (-0.5%) 
BN-015 : 74 (+2) KA Turun (-2%) 
B-208 : 29 (+2) KA Turun (-0.3%) 

*Sumur Low*
B-173 : 18 (-9) KA Naik (+25.9%) Pkl 00.00 - 06.00 stop motor overlod, manual start kick mode. Pkl 06.05 program upfreq 30 Hz to 58 Hz in 1 hour
B-125 : 27 (-5) KA Naik (+0.5%) 
BN-058 : 56 (-5) Gross Turun (-29) 
B-191 : 61 (-4) KA Naik (+3.6%) 
BN-022 : 24 (-3) KA Naik (+0.3%) 
B-231 : 13 (-3) Gross Turun (-88) 
B-195 : 11 (-2) KA Naik (+0.5%) 
B-140 : 5 (-1) Gross Turun (-51) Prod. 24 jam, ex. bean up",8297.84672314088,5327.217596256445,7630.46424424061,4898.758044802472,8369.453,4517.0,6027.25,128.0,1638.25,7206.625,10320.625,759.0,3873.0,2250.0,2833.0,1445.0,2028.0,3494.0,3736.0,477.0,719.0,17467.625,22916.875,2809.0,8258.25,3.0,16.0,0.0,402.0,18083.3715,4.0,24.791666666666668,0.0,255.41666666666666,30088.016200000002,48171.38770000001,21953.9882,155.425,347.678,80.0,1285.5583,571.7917,348.2,0.0,21.799999999999272,2810.452999999999,651.3,87.0,4145.5,352.1,5235.900000000001,323.1,0.0,0.0,323.1,0.0,8369.453,0.0,0.0,0.768,1.5533,2.4915,0.3385,0.3,0.8647,29.0,558.0,3.0,0,
2026-01-08,1976.6487184445118,1969.2790405479982,2262.069,2262.062,0.0,2262.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9469.0,550.5,12926.0625,846.9375,5059.96875,509.734375,8354.75,304.75,50.0,35809.78125,2261.921875,33597.859375,33681.848,33752.0,8.0,45.0,14.0,29.0,67.0,"*Sumur Gain*
B-196 : 112 (+6) Gross Naik (+16) 
B-125 : 32 (+5) KA Turun (-0.9%) 
B-234 : 96 (+5) KA Turun (-5.4%) 
B-237 : 61 (+4) Gross Naik (+15) 
B-173 : 21 (+3) Gross Naik (+22) Prod. 24 jam, ex. Stop motor overlod, manual start kick mode. Ex. Upfreq
B-219 : 51 (+3) KA Turun (-0.6%) 
B-194 : 83 (+3) KA Turun (-0.7%) 
BN-038 : 13 (+2) KA Turun (-0.4%) 
B-239 : 5 (+2) KA Turun (-9.7%) 
B-206 : 29 (+2) KA Turun (-0.4%) 

*Sumur Low*
B-236 : 46 (-8) Gross Turun (-35) 
B-081 : 42 (-6) KA Naik (+0.5%) 
B-102 : 4 (-6) Gross Turun (-52) Pkl 09.00 tutup sumur, kosongkan jalur flowline dan gasline (Program WO)
B-229 : 16 (-5) KA Naik (+0.8%) 
B-198 : 63 (-3) Gross Turun (-54) 
B-214 : 29 (-3) Gross Turun (-3) 
BN-017 : 16 (-1) KA Naik (+0.4%) 
B-169 : 29 (-1) Gross Turun (-8) ",8297.84672314088,5327.217596256445,7630.46424424061,4898.758044802472,8728.9375,4517.0,6042.0,128.0,1653.0,7246.0,10305.375,759.0,3818.375,2250.0,2776.0,1542.0,2068.0,3494.0,3735.0,477.0,718.0,17507.0,22858.375,2906.0,8257.375,3.0,16.0,0.0,402.0,17982.1737,4.0,24.958333333333332,0.0,256.7916666666667,29946.1819,47928.355599999995,21452.7444,155.5,357.117,80.0,1289.9038,572.9167,343.7,0.0,53.0,2852.1375,454.7,88.3,4718.5,357.4,5618.9,257.90000000000003,0.0,0.0,257.90000000000003,0.0,8728.9375,0.0,0.0,0.6764,1.5377,2.5044,0.4547,0.20130000000000003,0.0,29.0,540.0,3.0,0,
2026-01-09,1976.6487184445118,1969.2790405479982,2240.059,2240.062,0.0,2240.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10012.020833333332,537.5,12931.75,854.375,4920.96875,490.734375,8253.75,304.75,53.0,36118.48958333333,2240.359375,33931.13020833333,34153.18366665673,34142.66666665673,8.0,46.0,14.0,29.0,68.0,"*Sumur Low*
B-194 : 69 (-14) KA Naik (+1.8%) 
B-196 : 101 (-11) Gross Turun (-16) 
B-140 : 0 (-5) KA Naik (+4.7%) Prod. 24 jam, ex. bean up
B-102 : 0 (-4) Gross Turun (-31) Shut in 24 jam, (Program WO)
B-214 : 25 (-4) Gross Turun (-3) Pkl 15.00 ukur GI 444 Mscfd
B-146 : 28 (-4) KA Naik (+1.6%) 
BN-018 : 112 (-3) KA Naik (+0.2%) 
B-216 : 29 (-3) KA Naik (+0.6%) 
B-147 : 11 (-2) Gross Turun (-107) 
B-173 : 19 (-2) Gross Turun (-5)

*Sumur Gain*
B-225 : 24 (+8) KA Turun (-0.8%) 
BN-058 : 61 (+5) KA Turun (-2%) 
B-198 : 66 (+3) Gross Naik (+51) 
BN-017 : 19 (+3) KA Turun (-2.8%) 
B-181 : 40 (+3) KA Turun (-0.4%) 
B-208 : 32 (+3) Gross Naik (+297) Pkl 15.50 ukur GI 450 Mscfd
B-149 : 21 (+2) KA Turun (-0.3%) Pkl 10.37 ukur GI 528 Mscfd",8297.84672314088,5327.217596256445,7630.46424424061,4898.758044802472,8390.003400000001,4748.75,6661.020833333333,128.0,2040.270833333333,7031.0,10033.0,759.0,3761.0,2333.0,2847.0,1542.0,2056.0,3536.0,3865.0,477.0,806.0,17648.75,23406.020833333332,2906.0,8663.270833333332,3.0,16.0,0.0,399.0,17943.6976,4.0,25.0,0.0,281.7916666666667,29945.7768,47889.4744,21791.0984,155.325,361.228,80.0,1287.1171,572.3333,343.1,0.0,5.800000000000182,2804.9033999999997,342.6,87.6,4854.799999999999,265.6,5550.599999999999,34.5,0.0,0.0,34.5,0.0,8390.003400000001,0.0,0.0,0.7421,1.51,2.6027,0.3426,0.3,1.1527,29.0,560.0,4.0,0,"HPS 3 Pkl. 16.00 Swicth ke HPS 4 Pkl. 16.00 naikkan frq HPS 1, 2, dan 4 ke 47 Hz"
2026-01-10,1976.6487184445118,1969.2790405479982,2260.077,2260.082,0.0,2260.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10088.5,554.75,12332.5625,849.0,5022.734375000001,505.6588541666667,9354.75,298.29166666666663,52.0,36798.546875,2259.7005208333335,34590.846354166664,34726.3160000149,34704.5000000149,8.0,45.0,14.0,29.0,67.0,"*Sumur Gain*
B-173 : 24 (+5) KA Turun (-11.9%) 
B-195 : 16 (+5) KA Turun (-2.3%) 
B-125 : 37 (+5) Gross Naik (+90) 
B-196 : 105 (+4) Gross Naik (+6) 
B-234 : 100 (+4) KA Turun (-1.1%) 
BN-022 : 27 (+3) Gross Naik (+64) 
BN-015 : 77 (+3) KA Turun (-0.6%) 
BN-039 : 56 (+3) KA Turun (-0.1%) 
BN-017 : 22 (+3) Gross Naik (+20) 
B-208 : 35 (+3) KA Turun (-0.8%) 
B-132 : 37 (+2) Gross Naik (+13) 

*Sumur Low*
B-229 : 10 (-6) KA Naik (+1.4%) 
B-179 : 158 (-5) Gross Turun (-34) 
B-185 : 34 (-5) Gross Turun (-51) 
B-144 : 19 (-2) Gross Turun (-136) 
B-214 : 24 (-1) KA Naik (+9.7%) 
B-233 : 8 (-1) Gross Turun (-1) PKl 16.40 - 18.10 tutup sumur/GI imbangki tekanan perbaikan KN-1 SKG Nibung
B-203 : 9 (-1) Gross Turun (-8) PKl 16.40 - 18.10 tutup sumur/GI imbangki tekanan perbaikan KN-1 SKG Nibung",8297.84672314088,5327.217596256445,7630.46424424061,4898.758044802472,8109.4475,4915.0,6609.5,128.0,1822.5,5807.375,8442.5,759.0,3394.125,2302.125,2814.125,1545.0,2057.0,3997.3125,4326.3125,477.0,806.0,17021.8125,22192.4375,2909.0,8079.625,3.0,16.0,0.0,397.0,17972.7858,4.0,25.0,0.0,274.0833333333333,29589.6333,47562.4191,21715.5858,155.4,355.609,80.0,1286.5468,575.2917,336.8,0.0,-33.0,2756.6475,341.5,85.0,4514.7,353.5,5294.7,58.1,0.0,0.0,58.1,0.0,8109.4475,0.0,0.0,0.4253,1.5349,2.5265,0.3415,0.3,0.6896,29.0,577.0,4.0,0,
