Date,Well,Pot Gross,Pot Nett,Pot WC,Test,Date of Test,Production Zone,Status/Lifting,P.csg,P.tbg,P.fl,P.sep,Avg Prod Prev Month Gross,Avg Prod Prev Month Oil,Prev Day Gross,Prev Day Oil,Production Test Gross,Production Test Oil,Prod Act Gross,Prod Act Oil,Prod Act WC,Selisih Potensi,Selisih Last,Gas Inj (Mscfd),Gas Out SB (Mscfd),Gas Out SA (Mscfd),Gas Own (Mscfd),Tanggal Mulai Produksi,Keterangan,GS,CATEGORY,Bulan Ke,Date&Well,Struktur
2026-01-01,B-163,165.0,4.0,97.57575757575758,,2025-12-08 00:00:00,J-20,Tutup,0,0,0,0,210.7263888888889,2.405555555555556,0.0,0.0,0.01,0.0,0.0,0.0,,-4.0,0.0,0,0.0,,0.0,KUPL-04.05.25,"Shut in, Imbangi Tekanan Jaringan (WC 100%)",IV,,1,46023B-163,Bunyu
2026-01-01,B-169,414.0,27.0,93.47826086956522,,2025-12-31 00:00:00,M-32,SB OF,315,80,80,34,463.3333333333333,30.8,387.5,32.0,350.0,35.0,387.5,32.0,91.74193548387096,5.0,0.0,543,547.0,,4.0,PES-04.12.24,,IV,,1,46023B-169,Bunyu
2026-01-01,B-172,527.0,0.0,100.0,,2025-11-13 00:00:00,N-20,Tutup,0,0,0,0,444.53263888888887,0,0.0,0.0,0.01,0.0,0.0,0.0,,0.0,0.0,0,0.0,,0.0,KUPL-07.11.25,"Shut in, perbaikan KN#4 SKG Nibung",IV,,1,46023B-172,Bunyu
2026-01-01,B-173,81.0,32.0,60.49382716049383,T,2026-01-01 00:00:00,X-10/X-90/Z-10/Z-20/Z-30/Z-30L/Z-40,58 Hz,0,170,170,31,94.76875,33.55138888888889,116.0,30.0,55.0,24.0,55.0,24.0,56.36363636363636,-8.0,-6.0,0,63.0,,63.0,PES - 28.05.23,,IV,,1,46023B-173,Bunyu
2026-01-01,B-194,1733.0,70.0,95.96076168493941,,2025-12-31 00:00:00,O-40,SB OF,342,172,172,34,140.1597222222222,0,1404.0,102.0,1404.0,102.0,1404.0,102.0,92.73504273504274,32.0,0.0,381,1035.0,,654.0,KUPL-04.07.25,,IV,,1,46023B-194,Bunyu
2026-01-01,B-199,1220.0,130.0,89.34426229508196,,2025-12-31 00:00:00,N-25,SB OF,340,105,105,33,1298.5833333333333,126.13333333333334,1372.0,136.5,1396.0,139.0,1372.0,136.5,90.05102040816327,6.5,0.0,675,675.0,,0.0,PES-31.12.24,,IV,,1,46023B-199,Bunyu
2026-01-01,B-208,583.0,43.75,92.49571183533448,T,2026-01-01 00:00:00,G-61/H-71,SB 38,335,119,87,32,118.94444444444444,15.388888888888888,540.0,32.0,404.0,35.0,404.0,35.0,91.33663366336634,-8.75,3.0,472,472.0,,0.0,KUPL-17.08.25,,IV,,1,46023B-208,Bunyu
2026-01-01,B-209,0.0,0.0,0.0,,2025-11-23 00:00:00,AA-30/AA-70U/AA-70L/CC-20,Tutup,0,0,0,0,17.084722222222222,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,,0.0,PES-15.11.25,"Shut in, Optimasi jaringan",IV,,1,46023B-209,Bunyu
2026-01-01,B-228,0.0,0.0,0.0,,2025-12-18 00:00:00,Z-20,Tutup,0,0,0,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,,0.0,0.0,0,0.0,,0.0,PES-08.06.25,"Shut in, Optimasi jaringan",IV,,1,46023B-228,Bunyu
2026-01-01,B-241,0.0,0.0,0.0,,2025-12-18 00:00:00,F-55,Tutup,0,0,0,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,,0.0,0.0,0,0.0,,0.0,KUPL-06.04.25,"Shut in, kurangi flare SKG Nibung",IV,,1,46023B-241,Bunyu
